id,name,inn,region,period,revenue,net_profit,ebit
10848301,"ООО ""СТС""",8603235783,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2024,0.0,0.0,0.0
10848301,"ООО ""СТС""",8603235783,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2023,0.0,0.0,0.0
10848301,"ООО ""СТС""",8603235783,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2022,0.0,0.0,0.0
10848301,"ООО ""СТС""",8603235783,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2021,0.0,0.0,0.0
822169,"ООО ""СКИТ""",4718041353,ЛЕНИНГРАДСКАЯ,2023,0.0,0.0,0.0
822169,"ООО ""СКИТ""",4718041353,ЛЕНИНГРАДСКАЯ,2022,0.0,0.0,0.0
822169,"ООО ""СКИТ""",4718041353,ЛЕНИНГРАДСКАЯ,2021,0.0,0.0,0.0
12050281,"ООО ""ТОБИ""",9729336213,МОСКВА,2023,2033.0,0.0,0.0
12050281,"ООО ""ТОБИ""",9729336213,МОСКВА,2022,0.0,0.0,0.0
11701964,"ООО ""БАЛТСТРОЙ""",3906407841,КАЛИНИНГРАДСКАЯ,2023,173.0,44.0,36.0
11701964,"ООО ""БАЛТСТРОЙ""",3906407841,КАЛИНИНГРАДСКАЯ,2022,720.0,73.0,66.0
11701964,"ООО ""БАЛТСТРОЙ""",3906407841,КАЛИНИНГРАДСКАЯ,2021,0.0,0.0,0.0
11787844,"ООО ""СПАК""",7714482190,МОСКВА,2023,0.0,-357.0,-357.0
11787844,"ООО ""СПАК""",7714482190,МОСКВА,2022,457.0,184.0,211.0
8826434,"ООО ""ЮБК-СПЕЦМОНТАЖ""",9103004194,КРЫМ,2022,0.0,0.0,0.0
8826434,"ООО ""ЮБК-СПЕЦМОНТАЖ""",9103004194,КРЫМ,2021,0.0,0.0,0.0
11973192,"ООО ""КАРДСТРОЙ""",7707476069,МОСКВА,2022,3120.0,0.0,0.0
12126371,"ООО ""МЕГА-СТРОЙ136""",3662304140,ВОРОНЕЖСКАЯ,2023,1981.0,26.0,19.0
12254922,"ООО ""БОЛЬШОЙ АХУН""",2366043708,КРАСНОДАРСКИЙ,2023,0.0,0.0,0.0
12463098,"ООО ""ДЕКРОВУД""",7751314758,МОСКВА,2024,0.0,-7.0,-7.0
11925422,"ООО ""СТРОЙКОЛОС""",7743389735,МОСКВА,2024,55845.0,67.0,84.0
11925422,"ООО ""СТРОЙКОЛОС""",7743389735,МОСКВА,2023,210956.0,331.0,414.0
11925422,"ООО ""СТРОЙКОЛОС""",7743389735,МОСКВА,2022,16654.0,87.0,109.0
11879212,"ООО ""ПРОМЕТЕЙ""",7716967850,МОСКВА,2022,113105.0,71.0,59.0
7529265,"ООО ""АЛЬЯНС""",8620020812,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2023,1466.0,195.0,175.0
7529265,"ООО ""АЛЬЯНС""",8620020812,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2022,5152.0,-19.0,-112.0
